strain	originating_lab	submitting_lab	author
A/Cambodia/NIPHNPH230776/2023	National Institute Of Public Health	National Institute Of Public Health	Chhorvann,CHHEA;Darapheak,CHAU;Sitha,PRUM;Visal,CHHE;Sokha,DUL;Sengly,MANH;Phally,VY; Borann,SAR;Chanthap,LON;Jessica E,Manning;Sophana,Chea;Savuth,CHIN
A/Cambodia/NPH230776/2023	National Institute Of Public Health	Institut Pasteur Du Cambodia	SIEGERS,Jurre;YANN,Sokhoun;KOL,Sonita;PUM,Leakhena;CHIN,Savuth;CHAU,Darapheak;CHHEA,Chhorvann;DUONG,Veasna;KARLSSON,Erik
A/duck/Vietnam/24AS878/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	National Center For Veterinary Diagnosis	Nguyen Dang Tho, Nguyen Thanh Phuong, Dam Thi Vui, Hoang Thi Diep, Tran Minh Tan, Yann Sokhoun, Jurre Y, Erik Karlsson, Filip Claes, Pawin Padungtod, Nguyen Thi Diep
A/Chicken/Cambodia/250138PPCK01/2025	National Veterinary Research Institute	Institut Pasteur Du Cambodia	YANN, Sokhoun; KOL,Sonita; SIEGERS,Jurre; HORM, SreyViseth; SO, Sopheap; TUM, Sothyra; SAN, Sorn; KARLSSON,Erik
A/Cambodia/i0125001G/2024	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita; PUM,Leakhena; SIEGERS,Jurre;CHIN,Savuth;CHAU,Darapheak;CHHEA,Chhorvann;DUONG,Veasna;KARLSSON,Erik
A/Cambodia/24070331/2024	National Institute Of Public Health	Institut Pasteur Du Cambodia	YANN, Sokhoun;KOL,Sonita;PUM, Leakhena;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/AsianOpenbill/Cambodia/250017PVA0P01/2025	National Veterinary Research Institute	Institut Pasteur Du Cambodia	YANN,Sokhoun; KOL,Sonita; SIEGERS,Jurre; HORM,SreyViseth; SO, Sopheap; Chea,Sokha; Sours,SreyEm; Emily,Denstedt; Vor,Sina; Santi,Choun; Hong,Chamnan; SAN,Sorn; TUM,Sothyra; KARLSSON,Erik
A/Duck/Cambodia/i5K241D6T/2024	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Duck/Cambodia/i5K241D3T/2024	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Duck/Cambodia/i5K241D4T/2024	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	YANN,Sokhoun;KOL,Sonita;SIEGERS,Jurre;HORM, SreyViseth;TUM, Sothyra;SAN, Sorn;DUONG, Veasna;KARLSSON,Erik
A/Cambodia/KSH250004/2025	National Institute Of Public Health	Institut Pasteur Du Cambodia	YANN,Sokhoun; KOL,Sonita; PUM, Leakhena; SIEGERS,Jurre; HORM, SreyViseth; CHIN,Savuth; CHAU,Darapheak; CHHEA,Chhorvann; KARLSSON,Erik
A/Cambodia/2310209/2023	National Institute Of Public Health	Institut Pasteur Du Cambodia	SIEGERS,Jurre; YANN,Sokhoun; KOL,Sonita; PUM,Leakhena; CHIN,Savuth; CHAU,Darapheak; CHHEA,Chhorvann; DUONG, Veasna; KARLSSON,Erik
A/Cambodia/NIPH2310209/2023	National Institute Of Public Health	National Institute Of Public Health	Chhorvann,CHHEA;Darapheak,CHAU;Sitha,PRUM;Visal,CHHE;Sokha,DUL;Sengly,MANH;Phally,VY; Borann,SAR;Chanthap,LON;Jessica E,Manning;Sophana,Chea;Savuth,CHIN
A/Cambodia/25030237/2025	National Public Health Laboratory	Institut Pasteur Du Cambodia	"""YANN,Sokhoun; KOL,Sonita; PUM,Leakhena; SIEGERS,Jurre; HORM, SreyViseth; CHIN,Savuth; CHAU,Darapheak; CHHEA,Chhorvann; KARLSSON,Erik"""
A/Cambodia/j05273701/2025	"Institut Pasteur Du Cambodia "	Institut Pasteur Du Cambodia	"""YANN,Sokhoun; PUM,Leakhena; SIEGERS,Jurre; SAULIM, Sereyrith; KOL,Sonita; HORM, SreyViseth; KARLSSON,Erik"""
A/Cambodia/NPH250408/2025	National Institute Of Public Health	Institut Pasteur Du Cambodia	"""YANN,Sokhoun; KOL,Sonita; PUM, Leakhena; SIEGERS,Jurre; HORM, SreyViseth; CHIN,Savuth; CHAU,Darapheak; CHHEA,Chhorvann; KARLSSON,Erik"""
A/Cambodia/SVH250298/2025	National Institute Of Public Health	Institut Pasteur Du Cambodia	"""YANN,Sokhoun; KOL,Sonita; PUM, Leakhena; SIEGERS,Jurre; HORM, SreyViseth; CHIN,Savuth; CHAU,Darapheak; CHHEA,Chhorvann; KARLSSON,Erik"""
A/Cambodia/NPH250131/2025	National Institute Of Public Health	National Institute Of Public Health	Chhorvann, CHHEA;Darapheak,CHAU;Sitha,PRUM;Visal,CHHE;Sokha,DUL;Sengly,MANH;Phally,VY; Borann,SAR;Chanthap,LON;Jessica E,Manning;Sophana,Chea;Savuth,CHIN
A/Cambodia/250302372/2025	National Institute Of Public Health	National Institute Of Public Health	Chhorvann, CHHEA;Darapheak,CHAU;Sitha,PRUM;Visal,CHHE;Sokha,DUL;Sengly,MANH;Phally,VY; Borann,SAR;Chanthap,LON;Jessica E,Manning;Sophana,Chea;Savuth,CHIN
A/duck/Vietnam/24AS877/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	National Center For Veterinary Diagnosis	Nguyen Dang Tho, Nguyen Thanh Phuong, Dam Thi Vui, Hoang Thi Diep, Tran Minh Tan, Yann Sokhoun, Jurre Y, Erik Karlsson, Filip Claes, Pawin Padungtod, Nguyen Thi Diep
A/chicken/Vietnam/NCVD24VLS5V1S78/2024	National Center For Veterinary Diagnosis	Centers For Disease Control And Prevention	?
A/chicken/Vietnam/NCVD24VLS4V1P17/2024	National Center For Veterinary Diagnosis	Centers For Disease Control And Prevention	?
A/tiger/Vietnam/24AS1714/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	National Center For Veterinary Diagnosis	Nguyen Dang Tho, Nguyen Thanh Phuong, Dam Thi Vui, Hoang Thi Diep, Tran Minh Tan, Jurre Y, Erik Karlsson, Filip Claes, Pawin Padungtod, Nguyen Thi Diep
A/leopard/Vietnam/24AS1719/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	National Center For Veterinary Diagnosis	Nguyen Dang Tho, Nguyen Thanh Phuong, Dam Thi Vui, Hoang Thi Diep, Tran Minh Tan, Yann Sokhoun, Jurre Y, Erik Karlsson, Filip Claes, Pawin Padungtod, Nguyen Thi Diep
A/tiger/Vietnam/24AS1715/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	National Center For Veterinary Diagnosis	Nguyen Dang Tho, Nguyen Thanh Phuong, Dam Thi Vui, Hoang Thi Diep, Tran Minh Tan, Yann Sokhoun, Jurre Y, Erik Karlsson, Filip Claes, Pawin Padungtod, Nguyen Thi Diep
A/tiger/Vietnam/24AS1667/2024	National Centre For Veterinary Diagnosis	National Center For Veterinary Diagnosis	Nguyen Dang Tho, Nguyen Thanh Phuong, Dam Thi Vui, Hoang Thi Diep, Tran Minh Tan, Yann Sokhoun, Jurre Y, Erik Karlsson, Filip Claes, Pawin Padungtod, Nguyen Thi Diep
A/tiger/Vietnam/24AS1668/2024	National Centre For Veterinary Diagnosis	National Center For Veterinary Diagnosis	Nguyen Dang Tho, Nguyen Thanh Phuong, Dam Thi Vui, Hoang Thi Diep, Tran Minh Tan, Yann Sokhoun, Jurre Y, Erik Karlsson, Filip Claes, Pawin Padungtod, Nguyen Thi Diep
A/tiger/Vietnam/24AS1716/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	National Center For Veterinary Diagnosis	Nguyen Dang Tho, Nguyen Thanh Phuong, Dam Thi Vui, Hoang Thi Diep, Tran Minh Tan, Yann Sokhoun, Jurre Y, Erik Karlsson, Filip Claes, Pawin Padungtod, Nguyen Thi Diep
A/tiger/Vietnam/24AS1717/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	National Center For Veterinary Diagnosis	Nguyen Dang Tho, Nguyen Thanh Phuong, Dam Thi Vui, Hoang Thi Diep, Tran Minh Tan, Yann Sokhoun, Jurre Y, Erik Karlsson, Filip Claes, Pawin Padungtod, Nguyen Thi Diep
A/tiger/Vietnam/24AS1718/2024	Center For Veterinary Diagnostics   Regional Animal Health Office No.6	National Center For Veterinary Diagnosis	Nguyen Dang Tho, Nguyen Thanh Phuong, Dam Thi Vui, Hoang Thi Diep, Tran Minh Tan, Yann Sokhoun, Jurre Y, Erik Karlsson, Filip Claes, Pawin Padungtod, Nguyen Thi Diep
A/environment/Bangladesh/E591/2023	Northwest University, Key Laboratory Of Resource Biology And Biotechnology In Western China		Du,X., Lv,Z. and Fu,Y.
A/Wisconsin/179/2024	Wisconsin State Laboratory Of Hygiene	Centers For Disease Control And Prevention	Dugan, Vivien; Davis, Todd; Kondor, Becky; Steel, John; Kirby, Marie; De La Cruz, Juan; Di, Han; Sheffield, Sydney; Liddell, Jimma; Frederick, Julia; Radford, Kay; Lacek, Kristine; Keong, Lisa; Shu, Bo; DaSilva, Juliana; Hanson, Erika; Griesser, Richard
A/turkeyvulture/California/23021850001/2023	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Tawidian,P., Torchetti,M.K., Killian,M.L., Lantz,K., Dilione,K.E., Ringenberg,J.M., Bevins,S.N., Lenoch,J.B. and Ip,H.S.
A/RedTailedHawk/BritishColumbia/AIVPHL1236/2023	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/Chicken/BritishColumbia/FAV04372/2023	Canadian Food Inspection Agency	Canadian Food Inspection Agency	Signore, Anthony; Erdelyan, Cassidy; Hisanaga, Tamiko; Ayilara, Ifeoluwa; Pama, Lemarie; Fisher, Mathew; Kruczkiewicz, Peter; Sullivan, Daniel; Lung, Oliver; Berhane, Yohannes
A/Chicken/BC/FAV033722022	Canadian Food Inspection Agency	Canadian Food Inspection Agency	Signore, Anthony; Erdelyan, Cassidy; Hisanaga, Tamiko; Ayilara, Ifeoluwa; Pama, Lemarie; Fisher, Mathew; Kruczkiewicz, Peter; Sullivan, Daniel; Lung, Oliver; Berhane, Yohannes
A/BaldEagle/BritishColumbia/AIVPHL1455/2023	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/Americanwigeon/Alaska/23034446001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/GreatBlueHeron/BritishColumbia/AIVPHL1417/2023	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/mallard/Alaska/24008163001original/2024	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Aufderhar,Matthew;Franzen,Kerrie;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron;Lakin,Steven
A/CacklingGoose/BritishColumbia/AIVPHL1690/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/BarredOwl/BritishColumbia/AIVPHL1810/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/GreatHornedOwl/BritishColumbia/AIVPHL1931/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/polarbear/Alaska/23038123/2023	United States Department Of Agriculture, National Veterinary Services Laboratories Diagnostic Virology Laboratory	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/shorttailedshearwaters/Minnesota/23025002003/2023	United States Department Of Agriculture	U.s. Department Of Agriculture (usda)	Killian,Mary; Franzen,Kerrie; Ozella,Mikaela; Stuber,Tod; Hicks,Jessica; Norris,Cameron; Lantz,Kristina
A/manxshearwater/Alaska/23025002003original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/glaucousgull/Alaska/23025003001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/glaucousgull/Alaska/23025003001/2023	United States Department Of Agriculture	U.s. Department Of Agriculture (usda)	Killian,Mary; Franzen,Kerrie; Ozella,Mikaela; Stuber,Tod; Hicks,Jessica; Norris,Cameron; Lantz,Kristina
A/blackleggedkittiwake/Alaska/23029675001/2023	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Tawidian,P., Torchetti,M.K., Killian,M.L., Lantz,K., Dilione,K.E., Ringenberg,J.M., Bevins,S.N., Lenoch,J.B. and Ip,H.S.
A/blackleggedkittiwake/Alaska/23029675001original/2023	National Veterinary Services Laboratories   Usda	National Veterinary Services Laboratories   Usda	Franzen,Kerrie;Love,Emily;Ozella,Mikaela;Killian,Mary;Lantz,Kristina;Stuber,Tod;Hicks,Jessica;Norris,Cameron
A/commonmurre/Alaska/23027066004/2023	United States Department Of Agriculture	U.s. Department Of Agriculture (usda)	Killian,Mary; Franzen,Kerrie; Ozella,Mikaela; Stuber,Tod; Hicks,Jessica; Norris,Cameron; Lantz,Kristina
A/commonmurre/Alaska/23027066013/2023	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories	U.s. Department Of Agriculture (usda)	?
A/commonmurre/Alaska/23027066011/2023	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories	U.s. Department Of Agriculture (usda)	?
A/commonmurre/Alaska/23027066002/2023	United States Department Of Agriculture	U.s. Department Of Agriculture (usda)	Killian,Mary; Franzen,Kerrie; Ozella,Mikaela; Stuber,Tod; Hicks,Jessica; Norris,Cameron; Lantz,Kristina
A/commonmurre/Alaska/23027066010/2023	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories	U.s. Department Of Agriculture (usda)	?
A/woodduck/Florida/W24974B/2024	St. Jude Children's Research Hospital, Host Microbe Interactions		Fabrizio,T.P., Poulson,R.L., Jeevan,T., Harrington,W., Kercher,L., Kandeil,A., Walker,D., Mukherjee,N. and Webby,R.J.
A/pheasant/Illinois/24034185004/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K. and Aufderhar,M.
A/duck/Ohio/24038008001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/turkey/SouthDakota/24035690002/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/CacklingGoose/BritishColumbia/AIVPHL2520/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/CanadaGoose/BritishColumbia/AIVPHL2563/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/CacklingGoose/BritishColumbia/AIVPHL2624/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/CacklingGoose/BritishColumbia/AIVPHL2931/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/GlaucousWingedGull/BritishColumbia/AIVPHL2700/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/CanadaGoose/BritishColumbia/AIVPHL2597/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/chicken/NewMexico/25011508001R2/2025	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/chicken/Oklahoma/24035675002/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/chicken/Oklahoma/24036668003/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K. and Aufderhar,M.
A/turkey/USA/009630001/2025	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/turkey/USA/009630002/2025	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/chicken/Arkansas/24037005001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K. and Aufderhar,M.
A/CanadaGoose/BritishColumbia/AIVPHL2659/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/GreenWingedTeal/BritishColumbia/AIVPHL2526/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/snowgoose/Kansas/W241007B/2024	St. Jude Children's Research Hospital, Host Microbe Interactions		Fabrizio,T.P., Poulson,R.L., Jeevan,T., Harrington,W., Kercher,L., Kandeil,A., Walker,D., Mukherjee,N. and Webby,R.J.
A/SnowGoose/BritishColumbia/AIVPHL2538/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/turkey/Idaho/25000070001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/CacklingGoose/BritishColumbia/AIVPHL2629/2024	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
A/CoopersHawk/BritishColumbia/AIVPHL3515/2025	B.c. Centre For Disease Control	Public Health Agency Of Canada	Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Yang,Kevin; Russell,Shannon; Zlosnik,James; Hoang,Linda
